年分,購屋貸款金額(新臺幣百萬元),利率(年息百分比率),資本支出貸款金額(新臺幣百萬元),利率(年息百分比率),週轉金貸款金額(新臺幣百萬元),利率(年息百分比率),消費性貸款金額(新臺幣百萬元),利率(年息百分比率),貸款金額(新臺幣百萬元),利率(年息百分比率)
1998,182024,8.413,147562,8.285,2837451,8.243,65677,8.596,3232714,8.261
1999,264913,7.595,188861,7.67,3505469,7.015,61221,8.254,4020464,7.103
2000,317166,6.776,208821,6.972,4381334,6.69,56825,7.963,4964146,6.722
2001,266328,5.988,157202,6.196,4210405,5.698,50069,7.742,4684004,5.753
2002,237458,4.401,153602,3.807,3962265,3.996,50805,6.6,4404130,4.041
2003,237393,2.979,160050,3.076,3868615,2.754,121542,3.531,4387596,2.799
2004,297457,2.401,266075,2.427,4394269,2.186,102288,3.595,5060097,2.24
2005,335437,2.292,294203,2.563,4491283,2.267,107321,3.568,5228236,2.312
2006,514488,2.267,381533,2.682,5502985,2.341,94018,3.326,6493026,2.37
2007,494551,2.435,308588,3.051,6491063,2.686,101354,3.458,7395555,2.696
2008,473258,2.754,372974,3.119,7611810,2.783,98052,3.429,8556095,2.804
2009,566178,1.795,408675,2.028,5864784,1.421,75542,2.334,6915179,1.497
2010,564687,1.69,786899,1.726,5555030,1.37,76614,2.201,6983230,1.445
2011,595885,1.834,585185,2.069,6391794,1.449,72912,2.47,7645776,1.536
2012,539322,1.894,520076,2.116,6585141,1.542,63253,2.704,7707792,1.615
2013,539532,1.948,586565,2.213,5911436,1.614,73180,2.746,7110713,1.7
2014,502352,1.963,598569,2.132,5952671,1.595,70280,2.768,7123872,1.678
2015,446366,1.952,563449,2.196,5859034,1.585,72189,2.742,6941038,1.67
2016,435688,1.724,644568,1.937,6150727,1.387,74501,2.577,7305484,1.468
2017,461400,1.646,532512,1.932,6536808,1.343,73877,2.497,7604597,1.414
2018,494136,1.626,646174,1.838,7097611,1.299,73903,2.431,8311824,1.37
2019,592553,1.621,800047,1.813,7184557,1.308,74274,2.434,8651431,1.386
2020,629497,1.415,954359,1.665,7241131,1.196,117804,2.054,8942791,1.273
2021,708814,1.354,962229,1.569,7159449,1.123,106316,2.038,8936808,1.2
2022,707212,1.626,945106,1.841,9536257,1.385,76854,2.466,11265429,1.446
