時間,五大行庫平均房貸利率(%)
112/03,1.99
112/02,1.98
112/01,1.95
111/12,1.86
111/11,1.85
111/10,1.83
111/09,1.73
111/08,1.73
111/07,1.70
111/06,1.61
111/05,1.60
111/04,1.56
111/03,1.38
111/02,1.37
111/01,1.36
110/12,1.36
110/11,1.35
110/10,1.35
110/09,1.35
110/08,1.35
110/07,1.35
110/06,1.35
110/05,1.35
110/04,1.36
110/03,1.36
110/02,1.37
110/01,1.36
109/12,1.36
109/11,1.36
109/10,1.37
109/09,1.36
109/08,1.36
109/07,1.36
109/06,1.36
109/05,1.35
109/04,1.38
109/03,1.59
109/02,1.61
109/01,1.62
108/12,1.61
108/11,1.62
108/10,1.62
108/09,1.62
108/08,1.62
108/07,1.62
108/06,1.62
108/05,1.62
108/04,1.62
108/03,1.63
108/02,1.64
108/01,1.63
107/12,1.62
107/11,1.63
107/10,1.63
107/09,1.62
107/08,1.63
107/07,1.62
107/06,1.62
107/05,1.63
107/04,1.63
107/03,1.63
107/02,1.63
107/01,1.64
106/12,1.63
106/11,1.63
106/10,1.63
106/09,1.63
106/08,1.64
106/07,1.64
106/06,1.65
106/05,1.66
106/04,1.67
106/03,1.67
106/02,1.67
106/01,1.67
105/12,1.66
105/11,1.68
105/10,1.66
105/09,1.67
105/08,1.68
105/07,1.70
105/06,1.72
105/05,1.73
105/04,1.74
105/03,1.82
105/02,1.84
105/01,1.85
104/12,1.90
104/11,1.91
104/10,1.91
104/09,1.96
104/08,1.97
104/07,1.98
104/06,1.98
104/05,1.98
104/04,1.99
104/03,1.99
104/02,1.98
104/01,1.99
103/12,1.96
103/11,1.96
103/10,1.98
103/09,1.97
103/08,1.96
103/07,1.96
103/06,1.96
103/05,1.96
103/04,1.96
103/03,1.97
103/02,1.97
103/01,1.96
102/12,1.93
102/11,1.94
102/10,1.95
102/09,1.94
102/08,1.95
102/07,1.95
102/06,1.95
102/05,1.98
102/04,1.95
102/03,1.95
102/02,1.97
102/01,1.95
101/12,1.91
101/11,1.91
101/10,1.90
101/09,1.90
101/08,1.90
101/07,1.89
101/06,1.88
101/05,1.89
101/04,1.88
101/03,1.89
101/02,1.90
101/01,1.89
100/12,1.88
100/11,1.89
100/10,1.89
100/09,1.88
100/08,1.88
100/07,1.87
100/06,1.83
100/05,1.83
100/04,1.79
100/03,1.77
100/02,1.78
100/01,1.76
099/12,1.74
099/11,1.78
099/10,1.76
099/09,1.75
099/08,1.70
099/07,1.68
099/06,1.65
099/05,1.62
099/04,1.64
099/03,1.64
099/02,1.67
099/01,1.67
098/12,1.64
098/11,1.69
098/10,1.78
098/09,1.79
098/08,1.72
098/07,1.76
098/06,1.79
098/05,1.85
098/04,1.89
098/03,1.85
098/02,1.86
098/01,2.04
097/12,2.52
097/11,2.76
097/10,2.85
097/09,2.86
097/08,2.83
097/07,2.83
097/06,2.80
097/05,2.76
097/04,2.77
097/03,2.76
097/02,2.74
097/01,2.70
096/12,2.62
096/11,2.62
096/10,2.64
096/09,2.61
096/08,2.56
096/07,2.47
096/06,2.41
096/05,2.35
096/04,2.33
096/03,2.30
096/02,2.29
096/01,2.30
095/12,2.28
095/11,2.26
095/10,2.26
095/09,2.26
095/08,2.27
095/07,2.26
095/06,2.24
095/05,2.25
095/04,2.27
095/03,2.29
095/02,2.29
095/01,2.28
094/12,2.27
094/11,2.30
094/10,2.31
094/09,2.29
094/08,2.31
094/07,2.30
094/06,2.29
094/05,2.27
094/04,2.29
094/03,2.32
094/02,2.28
094/01,2.28
093/12,2.31
093/11,2.35
093/10,2.36
093/09,2.38
093/08,2.38
093/07,2.41
093/06,2.44
093/05,2.47
093/04,2.54
093/03,2.48
093/02,2.48
093/01,2.49
092/12,2.56
092/11,2.64
092/10,2.80
092/09,2.87
092/08,2.99
092/07,3.14
092/06,3.20
092/05,3.29
092/04,3.46
092/03,3.53
092/02,3.50
092/01,3.69
091/12,4.08
091/11,4.24
091/10,4.42
091/09,4.49
091/08,4.52
091/07,4.69
091/06,4.35
091/05,4.25
091/04,4.59
091/03,4.76
091/02,4.96
091/01,5.09
090/12,5.35
090/11,5.72
090/10,5.99
090/09,5.83
090/08,6.01
090/07,5.99
090/06,6.18
090/05,6.23
090/04,6.37
090/03,6.50
090/02,6.64
090/01,6.52
089/12,6.46
089/11,6.41
089/10,6.51
089/09,6.66
089/08,6.90
089/07,6.77
089/06,6.85
089/05,6.98
089/04,7.21
089/03,7.30
089/02,7.14
089/01,7.38
088/12,7.50
088/11,7.75
088/10,7.90
088/09,7.75
088/08,7.71
088/07,7.83
088/06,7.58
088/05,7.32
088/04,7.23
088/03,7.55
088/02,7.85
088/01,8.29
087/12,8.28
087/11,8.27
087/10,8.39
087/09,8.40
087/08,8.51
087/07,8.52
087/06,8.54
087/05,8.57
087/04,8.57
087/03,8.52
087/02,8.14
087/01,8.42
086/12,8.43
086/11,8.38
086/10,8.34
086/09,8.35
086/08,8.25
086/07,8.33
086/06,8.41
086/05,8.52
086/04,8.59
086/03,8.58
086/02,8.55
086/01,8.62
085/12,8.69
085/11,8.62
085/10,8.65
085/09,8.72
085/08,8.83
085/07,8.81
085/06,8.83
085/05,8.86
085/04,8.94
085/03,9.02
085/02,8.99
085/01,8.94
084/12,9.01
084/11,9.07
084/10,9.09
084/09,9.09
084/08,9.20
084/07,9.28
084/06,9.29
084/05,9.31
084/04,9.27
084/03,9.31
084/02,9.33
084/01,9.45
083/12,9.50
083/11,9.40
083/10,9.34
083/09,9.20
083/08,9.20
083/07,9.20
