年度季別,全國
111Q4,40.25
111Q3,40.55
111Q2,39.62
111Q1,38.35
110Q4,37.83
110Q3,36.90
110Q2,36.27
110Q1,36.54
109Q4,36.81
109Q3,36.76
109Q2,34.64
109Q1,35.30
108Q4,35.15
108Q3,34.73
108Q2,36.06
108Q1,35.53
107Q4,35.12
107Q3,36.17
107Q2,36.90
107Q1,37.25
106Q4,37.58
106Q3,37.84
106Q2,38.90
106Q1,38.04
105Q4,38.34
105Q3,38.49
105Q2,37.14
105Q1,35.35
104Q4,35.81
104Q3,36.10
104Q2,36.36
104Q1,35.94
103Q4,35.61
103Q3,35.56
103Q2,35.35
103Q1,31.81
102Q4,35.36
102Q3,37.85
102Q2,37.85
102Q1,35.29
101Q4,32.78
101Q3,31.41
101Q2,33.82
101Q1,31.31
100Q4,30.52
100Q3,30.62
100Q2,30.51
100Q1,30.37
099Q4,29.34
099Q3,29.10
099Q2,28.75
099Q1,27.92
098Q4,27.73
098Q3,27.27
098Q2,26.86
098Q1,25.94
097Q4,26.72
097Q3,28.00
097Q2,28.59
097Q1,27.94
096Q4,25.62
096Q3,23.99
096Q2,24.08
096Q1,22.49
095Q4,21.64
095Q3,23.06
095Q2,22.48
095Q1,22.66
094Q4,21.70
094Q3,22.93
094Q2,22.91
094Q1,21.93
093Q4,21.33
093Q3,20.34
093Q2,20.73
093Q1,20.99
092Q4,21.34
092Q3,20.61
092Q2,20.88
092Q1,21.39
091Q4,22.34
091Q3,21.92
091Q2,23.94
091Q1,23.93
